[__main__] - 2026-06-03 17:33:10,280 (INFO): Directory deleted: `/Users/booper/Workspace/bootdev/boot-static-gen/public`
[generator] - 2026-06-03 17:33:10,280 (INFO): Directory created: `public`
[generator] - 2026-06-03 17:33:10,280 (INFO): Directory created: `public/images`
[generator] - 2026-06-03 17:33:10,281 (INFO): File `static/images/tolkien.png` copied to `public/images`
[generator] - 2026-06-03 17:33:10,281 (INFO): File `static/index.css` copied to `public`
[__main__] - 2026-06-03 17:55:18,239 (INFO): Directory deleted: `/Users/booper/Workspace/bootdev/boot-static-gen/public`
[generator] - 2026-06-03 17:55:18,239 (INFO): Directory created: `public`
[generator] - 2026-06-03 17:55:18,239 (INFO): Directory created: `public/images`
[generator] - 2026-06-03 17:55:18,240 (INFO): File `static/images/tolkien.png` copied to `public/images`
[generator] - 2026-06-03 17:55:18,240 (INFO): File `static/index.css` copied to `public`
[__main__] - 2026-06-03 18:00:30,143 (INFO): Directory deleted: `/Users/booper/Workspace/bootdev/boot-static-gen/public`
[generator] - 2026-06-03 18:00:30,143 (INFO): Directory created: `public`
[generator] - 2026-06-03 18:00:30,143 (INFO): Directory created: `public/images`
[generator] - 2026-06-03 18:00:30,144 (INFO): File `static/images/tolkien.png` copied to `public/images`
[generator] - 2026-06-03 18:00:30,144 (INFO): File `static/index.css` copied to `public`
[__main__] - 2026-06-03 18:01:50,368 (INFO): Directory deleted: `/Users/booper/Workspace/bootdev/boot-static-gen/public`
[generator] - 2026-06-03 18:01:50,369 (INFO): Directory created: `public`
[generator] - 2026-06-03 18:01:50,369 (INFO): Directory created: `public/images`
[generator] - 2026-06-03 18:01:50,370 (INFO): File `static/images/tolkien.png` copied to `public/images`
[generator] - 2026-06-03 18:01:50,370 (INFO): File `static/index.css` copied to `public`
[__main__] - 2026-06-03 22:13:47,243 (INFO): Directory deleted: `/Users/booper/Workspace/bootdev/boot-static-gen/public`
[generator] - 2026-06-03 22:13:47,244 (INFO): Directory created: `public`
[generator] - 2026-06-03 22:13:47,244 (INFO): Directory created: `public/images`
[generator] - 2026-06-03 22:13:47,245 (INFO): File `static/images/rivendell.png` copied to `public/images`
[generator] - 2026-06-03 22:13:47,246 (INFO): File `static/images/tolkien.png` copied to `public/images`
[generator] - 2026-06-03 22:13:47,247 (INFO): File `static/images/tom.png` copied to `public/images`
[generator] - 2026-06-03 22:13:47,248 (INFO): File `static/images/glorfindel.png` copied to `public/images`
[generator] - 2026-06-03 22:13:47,248 (INFO): File `static/index.css` copied to `public`
